,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C1,1.0,-0.19784733860708248,-0.03266387310678726,0.14246947609022917,0.0028972268781809088,-0.1476777818425818,0.08230543908590354,0.03629597988571296,-0.135327873683303,0.05500801316447232,0.26777241213610015,0.27399171335832023,0.06434297040084447,-0.16393481328089196,-0.07225952049211454,0.030652287854895436,0.18071835972379774,-5.005403647188961e-05,-0.08733173935551716,-0.14916536010594905,0.29415684078457155
C2,-0.19784733860708248,1.0,-0.1799510850215699,-0.4040758883168014,0.16580407414109122,0.3351763851629082,0.27707418025421143,0.16772515346600847,0.11858103586563853,-0.0697017496782558,0.015127036864511412,0.02189188793409837,0.15714660263825525,0.05062883179915556,0.16726448948518793,0.12131940984868915,0.059075877679238095,-0.2166028366468212,0.03205512382727621,-0.0581604697340921,0.0191382143640867
C3,-0.03266387310678726,-0.1799510850215699,1.0,0.3041060607219406,0.2461212520394048,-0.09471643756064291,0.030666306462064138,-0.12421008460990426,-0.25930301080630835,-0.169742191033161,-0.04675529396066587,-0.1969251835438338,0.09811021778774016,0.21463116781532404,0.025128797048453305,-0.030866706331613605,0.1008733782675102,0.19520850414595953,0.190964761477783,0.2251464175939244,-0.040649155374286726
C4,0.14246947609022917,-0.4040758883168014,0.3041060607219406,1.0,0.2520852699400224,-0.15995038319997662,-0.3418851276501743,-0.2956332207769378,-0.4009309788235607,0.0009269022940870241,-0.07253741830902764,-0.056978268169237296,0.11507406648276083,0.07240309272580757,-0.08873926732719843,-0.06654773275879211,0.21115621680176536,0.3394734914832389,-0.04978496492838383,0.04639875662395551,-0.053552869647396376
C5,0.0028972268781809088,0.16580407414109122,0.2461212520394048,0.2520852699400224,1.0,-0.03189543489180972,0.15089645185392014,0.041176759094307354,-0.28964036109796776,0.011872177744392429,0.07480785034493147,0.03235137068857965,0.03308789860050262,-0.18040264414196552,0.023013827832654217,-0.03570073098066832,0.3202973311885433,0.10151773892295969,-0.037014103373270935,-0.061310062649461525,0.1050967960441197
C6,-0.1476777818425818,0.3351763851629082,-0.09471643756064291,-0.15995038319997662,-0.03189543489180972,1.0,-0.05939927543053078,0.013712448220848265,0.11404896312930855,-0.033275812439166524,0.026892916482417355,0.03671326592936717,0.2083668796562029,0.25436099290779635,0.10034124498119097,0.05286602661434435,0.04167406683840891,-0.008443393776367806,0.11660690166339747,0.038167943095784404,0.018847683363261918
C7,0.08230543908590354,0.27707418025421143,0.030666306462064138,-0.3418851276501743,0.15089645185392014,-0.05939927543053078,1.0,-0.01057105980613563,0.06412481859563746,0.048766825599966104,-0.09754508093360337,-0.055427730158687655,0.20185994530322024,0.017180703045083148,0.035892382796564204,-0.13165969312174577,0.0493914228957661,-0.10981895698534284,-0.09720252571664144,-0.07454682099704747,-0.08954932937116256
C8,0.03629597988571296,0.16772515346600847,-0.12421008460990426,-0.2956332207769378,0.041176759094307354,0.013712448220848265,-0.01057105980613563,1.0,0.06490034980981307,0.5156588561607154,0.06561958256813268,0.0972986272518526,0.07253064818537688,0.052721698052685714,-0.0822278465907682,0.027375756907391836,-0.026633814149798946,0.0064244620131881916,0.06090611298027281,0.21198513465098806,-0.07946133781820887
C9,-0.135327873683303,0.11858103586563853,-0.25930301080630835,-0.4009309788235607,-0.28964036109796776,0.11404896312930855,0.06412481859563746,0.06490034980981307,1.0,0.10165134359677674,-0.21011824015623504,-0.00024071535746407992,0.026840078849029652,0.007859823134713222,0.17482032490478586,0.133063742715896,-0.4203478943875049,-0.31780700900166425,-0.0910583974129259,0.008413265887028714,-0.11597743937873284
C10,0.05500801316447232,-0.0697017496782558,-0.169742191033161,0.0009269022940870241,0.011872177744392429,-0.033275812439166524,0.048766825599966104,0.5156588561607154,0.10165134359677674,1.0,0.09731070034104562,0.03797125662795817,0.1215712831677507,0.031667519544925145,-0.18445987141130907,-0.0423376620988468,0.02661314196115163,-0.005010322405195087,0.1514772460621878,0.054950525093260205,0.009643723116070504
C11,0.26777241213610015,0.015127036864511412,-0.04675529396066587,-0.07253741830902764,0.07480785034493147,0.026892916482417355,-0.09754508093360337,0.06561958256813268,-0.21011824015623504,0.09731070034104562,1.0,0.1295627548310506,-0.21687967273682293,-0.13026245482270818,0.047717921883387,0.026128002484892957,0.27032181239108344,-0.04405587219734388,0.13241003147979227,-0.09471479794660467,0.619272162904389
C12,0.27399171335832023,0.02189188793409837,-0.1969251835438338,-0.056978268169237296,0.03235137068857965,0.03671326592936717,-0.055427730158687655,0.0972986272518526,-0.00024071535746407992,0.03797125662795817,0.1295627548310506,1.0,-0.040451581546561005,0.05686365050356709,0.07644989015708589,0.18633610319318392,-0.14880397293752035,-0.17312295646872086,0.07205892628564967,0.1628059299842625,0.3925730689565616
C13,0.06434297040084447,0.15714660263825525,0.09811021778774016,0.11507406648276083,0.03308789860050262,0.2083668796562029,0.20185994530322024,0.07253064818537688,0.026840078849029652,0.1215712831677507,-0.21687967273682293,-0.040451581546561005,1.0,0.18214887463981438,-0.18672438545265688,0.024806467849250835,-0.022031075797246103,0.13014069050556368,-0.07665069963644797,-0.09388077588284044,-0.17092455318826824
C14,-0.16393481328089196,0.05062883179915556,0.21463116781532404,0.07240309272580757,-0.18040264414196552,0.25436099290779635,0.017180703045083148,0.052721698052685714,0.007859823134713222,0.031667519544925145,-0.13026245482270818,0.05686365050356709,0.18214887463981438,1.0,0.04736742766795533,-0.09358914933878763,-0.28843346101230927,-0.3008307803627007,0.2716125688003191,0.4717391128451769,-0.09539887022574847
C15,-0.07225952049211454,0.16726448948518793,0.025128797048453305,-0.08873926732719843,0.023013827832654217,0.10034124498119097,0.035892382796564204,-0.0822278465907682,0.17482032490478586,-0.18445987141130907,0.047717921883387,0.07644989015708589,-0.18672438545265688,0.04736742766795533,1.0,0.11752211943863602,0.04225186372391133,-0.05815352223249587,0.025092874744932783,-0.03301913051665522,0.0320790447138794
C16,0.030652287854895436,0.12131940984868915,-0.030866706331613605,-0.06654773275879211,-0.03570073098066832,0.05286602661434435,-0.13165969312174577,0.027375756907391836,0.133063742715896,-0.0423376620988468,0.026128002484892957,0.18633610319318392,0.024806467849250835,-0.09358914933878763,0.11752211943863602,1.0,0.032811695466538136,-0.09504293252691827,0.03235148394404254,-0.0012249182127969846,0.03393062855912388
C17,0.18071835972379774,0.059075877679238095,0.1008733782675102,0.21115621680176536,0.3202973311885433,0.04167406683840891,0.0493914228957661,-0.026633814149798946,-0.4203478943875049,0.02661314196115163,0.27032181239108344,-0.14880397293752035,-0.022031075797246103,-0.28843346101230927,0.04225186372391133,0.032811695466538136,1.0,0.42918948151191505,-0.07483296459141443,-0.18445875509799411,0.03316668483308454
C18,-5.005403647188961e-05,-0.2166028366468212,0.19520850414595953,0.3394734914832389,0.10151773892295969,-0.008443393776367806,-0.10981895698534284,0.0064244620131881916,-0.31780700900166425,-0.005010322405195087,-0.04405587219734388,-0.17312295646872086,0.13014069050556368,-0.3008307803627007,-0.05815352223249587,-0.09504293252691827,0.42918948151191505,1.0,-0.13972632903002527,-0.16420961398803416,-0.25627194460597336
C19,-0.08733173935551716,0.03205512382727621,0.190964761477783,-0.04978496492838383,-0.037014103373270935,0.11660690166339747,-0.09720252571664144,0.06090611298027281,-0.0910583974129259,0.1514772460621878,0.13241003147979227,0.07205892628564967,-0.07665069963644797,0.2716125688003191,0.025092874744932783,0.03235148394404254,-0.07483296459141443,-0.13972632903002527,1.0,0.349993497968835,0.022492901025497846
C20,-0.14916536010594905,-0.0581604697340921,0.2251464175939244,0.04639875662395551,-0.061310062649461525,0.038167943095784404,-0.07454682099704747,0.21198513465098806,0.008413265887028714,0.054950525093260205,-0.09471479794660467,0.1628059299842625,-0.09388077588284044,0.4717391128451769,-0.03301913051665522,-0.0012249182127969846,-0.18445875509799411,-0.16420961398803416,0.349993497968835,1.0,-0.053100664520779224
C21,0.29415684078457155,0.0191382143640867,-0.040649155374286726,-0.053552869647396376,0.1050967960441197,0.018847683363261918,-0.08954932937116256,-0.07946133781820887,-0.11597743937873284,0.009643723116070504,0.619272162904389,0.3925730689565616,-0.17092455318826824,-0.09539887022574847,0.0320790447138794,0.03393062855912388,0.03316668483308454,-0.25627194460597336,0.022492901025497846,-0.053100664520779224,1.0
