C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
3,2,3,3,3,3,3,2,3,2,2,80,6.5,950,49,12,6,4,2,14,49.84
2,3,2,2,3,3,3,2,3,2,2,80,6.5,950,49,12,6,4,2,14,49.84
2,3,1,0,1,3,3,2,4,3,2,70,7.75,240,42,5,6,4,2,0,49.84
3,2,2,2,3,1,2,2,3,2,3,80,5.75,120,56,40,8,6,2,3,54.82
1,3,2,2,1,2,2,2,4,3,2,70,7.6,240,35,5,6,4,1,0,49.84
2,3,1,2,2,3,1,2,4,2,3,80,5.5,120,56,40,8,6,3,0,54.82
1,2,2,2,3,2,1,1,3,1,1,90,6.25,300,49,12,10,6,4,0,49.84
3,1,2,2,2,2,2,3,4,3,2,70,6.4,180,42,0,4,4,0,0,49.84
2,2,1,2,1,2,1,2,3,2,2,70,6.4,180,42,12,4,4,1,0,49.84
2,2,2,3,3,2,2,0,1,1,3,90,5.25,60,56,40,8,6,10,5,80.72
1,3,2,1,2,2,2,2,4,3,2,70,7.75,300,28,5,6,6,3,0,49.84
2,2,1,2,1,2,2,2,3,2,1,80,7.5,240,42,12,4,2,0,0,49.85
2,2,1,3,3,2,2,2,4,3,2,70,7.75,240,42,5,4,4,2,0,49.84
3,1,3,2,1,2,3,0,2,2,3,80,6,60,56,40,8,6,8,3,54.82
1,3,2,1,2,3,1,3,3,1,1,90,6,120,35,12,6,6,4,1,49.85
2,3,1,2,1,2,1,2,4,3,1,80,7.75,180,42,12,6,4,0,0,49.85
2,1,2,3,3,2,2,0,2,2,3,90,5,60,56,0,8,8,7,2,62.12
1,2,3,1,2,1,2,4,3,1,2,70,5.75,120,49,5,4,6,2,1,49.84
2,2,1,2,1,2,2,2,4,3,1,90,6.75,240,42,12,4,4,0,0,49.85
2,1,3,3,3,1,2,0,2,1,3,70,5,120,56,0,6,6,3,5,54.82
3,2,2,3,2,2,1,3,3,2,2,80,8.1,0,70,5,8,8,10,14,49.84
1,3,1,2,1,2,2,2,4,3,2,70,7.75,300,42,5,4,4,3,0,49.84
2,2,2,3,3,2,2,0,2,1,1,80,6,60,56,0,8,6,8,2,49.85
2,3,2,2,2,2,2,2,4,2,3,70,7.6,180,49,12,6,6,2,1,54.82
1,3,2,2,0,4,2,1,4,3,2,70,6.75,300,56,40,6,4,2,0,49.84
2,3,2,3,3,2,2,1,2,1,2,70,6.25,60,56,12,8,6,7,2,49.84
2,2,2,2,2,2,2,2,4,2,1,80,7.5,180,49,0,6,6,2,1,49.85
2,3,2,3,3,2,2,1,2,1,2,70,6.4,120,56,5,8,6,7,2,49.84
1,2,1,2,2,3,2,2,4,2,1,80,7.6,240,56,40,6,4,3,0,49.85
2,2,2,2,2,3,2,2,4,2,1,80,7.6,180,49,0,6,6,2,1,49.85
2,3,2,3,3,2,2,1,2,1,2,70,6.4,120,56,5,8,6,7,2,49.84
1,2,1,2,2,2,2,2,4,2,1,80,7.75,180,56,40,6,4,3,1,49.85
2,3,2,3,3,2,2,1,2,1,2,70,6.5,60,56,12,8,6,7,2,49.84
2,2,2,2,2,3,2,2,4,2,1,80,7.9,120,49,0,6,6,2,0,49.85
1,3,2,2,1,2,2,1,2,1,2,70,6.4,120,56,5,8,6,6,2,49.84
2,2,2,3,3,2,2,2,4,2,1,80,7.75,180,56,40,6,4,1,1,49.85
1,3,2,2,1,2,2,1,2,1,2,70,6.25,60,56,12,8,6,5,2,49.84
2,2,2,3,3,2,2,2,4,2,1,80,7.9,240,49,0,6,6,2,1,49.85
2,2,1,2,2,3,1,1,2,1,2,70,6.5,120,56,5,8,6,4,2,49.84
2,2,2,3,3,2,1,4,1,4,3,80,7.6,240,42,12,10,8,7,3,54.82
1,2,2,2,2,3,2,1,4,2,1,70,6.35,60,56,0,4,6,1,1,49.86
2,2,2,3,3,2,1,4,1,4,3,80,7.5,180,49,12,10,8,6,2,54.82
2,3,1,1,1,2,2,2,3,1,2,90,5.25,12,56,0,6,6,2,1,68.28
2,2,2,3,3,2,1,3,2,3,3,80,7.75,240,42,12,10,8,5,3,54.82
1,2,2,2,2,3,2,1,4,2,1,70,6.35,60,56,0,4,6,1,1,49.86
2,2,2,3,3,2,1,3,2,4,3,80,7.75,240,42,12,10,10,5,3,54.82
2,3,1,1,1,2,2,2,3,1,2,90,5.25,12,56,0,6,6,2,1,68.28
2,2,2,3,3,2,1,4,1,4,3,80,7.5,180,49,12,10,10,6,2,54.82
1,2,2,2,2,3,2,3,1,3,1,70,6.6,120,49,0,4,6,3,1,49.85
2,2,3,3,3,2,2,3,2,4,2,70,7.75,240,42,12,10,10,5,3,51.12
1,2,1,2,2,2,2,4,4,2,3,80,6,60,56,0,4,6,1,1,54.82
