C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.6,0.65,0.95,0.49,0.12,0.6,0.4,0.05,0.28,0.4984
0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.6,0.65,0.95,0.49,0.12,0.6,0.4,0.05,0.28,0.4984
0.5,0.75,0.25,0.0,0.25,0.75,0.75,0.5,1.0,0.75,0.5,0.4,0.775,0.24,0.42,0.05,0.6,0.4,0.05,0.0,0.4984
0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0.6,0.575,0.12,0.56,0.4,0.8,0.6,0.05,0.06,0.5482
0.25,0.75,0.5,0.5,0.25,0.5,0.5,0.5,1.0,0.75,0.5,0.4,0.76,0.24,0.35,0.05,0.6,0.4,0.025,0.0,0.4984
0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.5,1.0,0.5,0.75,0.6,0.55,0.12,0.56,0.4,0.8,0.6,0.075,0.0,0.5482
0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.75,0.25,0.25,0.8,0.625,0.3,0.49,0.12,1.0,0.6,0.1,0.0,0.4984
0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.75,1.0,0.75,0.5,0.4,0.64,0.18,0.42,0.0,0.4,0.4,0.0,0.0,0.4984
0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.4,0.64,0.18,0.42,0.12,0.4,0.4,0.025,0.0,0.4984
0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.0,0.25,0.25,0.75,0.8,0.525,0.06,0.56,0.4,0.8,0.6,0.25,0.1,0.8072
0.25,0.75,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.4,0.775,0.3,0.28,0.05,0.6,0.6,0.075,0.0,0.4984
0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.6,0.75,0.24,0.42,0.12,0.4,0.2,0.0,0.0,0.4985
0.5,0.5,0.25,0.75,0.75,0.5,0.5,0.5,1.0,0.75,0.5,0.4,0.775,0.24,0.42,0.05,0.4,0.4,0.05,0.0,0.4984
0.75,0.25,0.75,0.5,0.25,0.5,0.75,0.0,0.5,0.5,0.75,0.6,0.6,0.06,0.56,0.4,0.8,0.6,0.2,0.06,0.5482
