,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C1,1,-0.33,0.42,0.03,0.51,-0.21,-0.68,0,0,0,0,0,-0.11,0,0.2,0,0,0,0,0,0.01
C2,0,1,0,0,0,0,0.34,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,-0.02
C3,0,0,1,0,0,0,0,0,0,0,0,0,-0.26,0,0.17,0,0.13,0,0,0,0.1
C4,0.22,0,0,1,0,0,-0.75,0,0,0,0,0,-0.07,0,0.1,0,0.08,0.05,0,0,0.01
C5,0,0,0,0.1,1,0,0,0,0,0,0,0,0,-0.2,0.1,0,0.1,0.05,0,0,0.1
C6,-0.15,0.52,0,0,-0.2,1,0,0,0,0,0,0,0.13,0,0,0,-0.15,0,0,0,-0.09
C7,-0.11,0.63,0,-0.72,-0.27,0.27,1,0,0,0,0,0,0.18,0,-0.13,0,0,0,0,0,-0.16
C8,0,0.14,0,-0.15,-0.13,0.1,0.1,1,0,0.19,-0.21,-0.09,0,0,0,0.15,-0.15,0,-0.17,-0.17,-0.06
C9,0,0,0,0,0,0,0,0.38,1,0.35,0,0,0,0,0,0.4,0,0,0,0,-0.1
C10,0,0.05,-0.14,0,0,0,0.09,0,0,1,0,0,0,0.14,0,0,0,0,-0.17,-0.2,-0.09
C11,0,-0.19,0,0.11,0.08,0,-0.18,0,0,0,1,0,-0.13,-0.23,0.17,0,0.14,0,0.14,0,0.04
C12,0,0,0,0,0,0,0,0,0,0,0.04,1,-0.21,-0.12,0.2,0,0.16,0.08,0.06,0,0.06
C13,-0.21,0,-0.19,0,-0.21,0,0,0.08,0,0,0,0,1,0.16,-0.28,0,-0.35,-0.14,-0.17,-0.17,-0.13
C14,-0.14,0,-0.18,0,0,0,0,0,0,0,0,0,0.32,1,-0.48,0,-0.36,-0.11,-0.18,-0.29,-0.15
C15,0.2,0,0.16,0,0,0,0,0,0,0,0,0,0,-0.36,1,0,0.22,0.04,0.12,0,0.07
C16,0.22,0,0,0.1,0.08,0,0,0,0,0,0,0,0,-0.1,0.2,1,0,0,0,0,0.07
C17,0.16,0,0.16,0.08,0.13,0,0,0,0,0,0,0,-0.46,-0.16,0.17,0,1,0.08,0.16,0.17,0.15
C18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05
C19,0.15,0,0,0.14,0.19,0,0,0,0,0,0,0,-0.37,-0.38,0.28,0,0.27,0.15,1,0.2,0.17
C20,0,0,0,0,0,0,0,0,0,0,0.03,0,-0.09,-0.1,0.17,0,0.09,0,0,1,0.07
C21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
