,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C1,1.0,-0.22913246986924832,-0.008053983927091198,0.11936452111764975,-0.028525753046591773,-0.13956080126626194,-0.03975442510925155,-0.036094711213405274,-0.11919586576981121,-0.030563789914580284,0.24772971803048327,0.22477181009771052,-0.028204996624330236,-0.1452608020745291,-0.01165660404649591,-0.03572814534772644,0.16084896141879804,0.03813387375125378,0.015016324375690449,-0.18985070783052135,0.2781499664832018
C2,-0.2352985080467064,1.0,-0.18772364287764073,-0.4263690869669517,0.13828092249564375,0.3430050486044884,0.23871834331620542,0.1328998984589635,0.01556495864056182,-0.029488978499747673,-0.019338574459811245,-0.04748848677799913,0.12993272287358976,0.018013545327172923,0.15601678231374425,-0.03447170931660225,-0.019171608010674905,-0.1798134596725196,0.014485183790513013,-0.03925437867874378,0.003692996777123145
C3,-0.03806790634866128,-0.21063407829865657,1.0,0.28144383506548803,0.21814442889646876,-0.08676361390826871,-0.03898796193926009,-0.15960949104557345,-0.2434847616288081,-0.19971866205301708,-0.019659066350497648,-0.24519350821328484,-0.027662849911156737,0.23293638623650126,-0.011436395491852512,-0.035039668639612526,-0.01948994628505963,0.2325954680530872,0.20568346557509634,0.18524673772552055,-0.05635010107463334
C4,0.11054956639120031,-0.4298039646395039,0.29747684640201605,1.0,0.228626265543344,-0.15328440972301666,-0.37457635438008974,-0.32531571795520725,-0.38766770507583964,-0.0251356303767679,-0.016484893340806488,-0.04047240650334116,-0.023195946051851817,0.015345910444101392,-0.009590636171464387,-0.02938088067579916,0.1948128763714986,0.3708190745968877,0.012339036209924503,-0.03345563672765404,-0.06671909465744587
C5,-0.04224029545638815,0.13175969547548919,0.23735908997811753,0.22694351435017474,1.0,0.008836009695934165,0.1076357411277553,-0.03927809840075309,-0.27208319589555346,-0.033258489678782005,-0.021809330269714045,-0.05356300028882739,-0.0306923966417267,-0.16007833140933092,-0.012682458315047588,-0.0388794600684933,0.29867700927367097,0.041503112830082595,0.01634406769601079,-0.04427492639679912,0.0876787957853098
C6,-0.1855152550133541,0.30467886488772516,-0.1025733523159477,-0.18247571076320898,-0.02780784784412567,1.0,-0.038751622396882214,-0.0351850410282269,0.015723145476398633,-0.029794830709763114,-0.019540287897080733,-0.047976253207215595,0.18087102854937312,0.2725537173163696,-0.011367367293325272,-0.03482761800188908,-0.01937225973237735,0.03715968874728609,0.014628371120673098,-0.0396582967592572,0.003241119751631054
C7,-0.03184895865298569,0.25140470898026146,-0.00660940077478305,-0.36084364429304544,0.12749147203669278,0.006658982555029571,1.0,-0.029616566486602273,0.013232548074442836,-0.025079501898123652,-0.11399113039811296,-0.04038324260964491,0.1787179356759882,0.015322097450546638,-0.00956658276608742,-0.1609749238277335,-0.016304248819691256,-0.07853427661958623,-0.08488257452661484,-0.03338131485237524,-0.1026825742748383
C8,-0.03839045084559335,0.13678352973749333,-0.13217560764476294,-0.31848479797143614,-0.028212224452730826,0.00802839519276692,-0.03931902453592553,1.0,0.015952626286651388,0.48542943913581715,-0.019823003275978624,-0.048678897520316976,-0.027895047675822716,0.01847052308041998,-0.01152966130721597,-0.03533617518263658,-0.019651771952883094,0.03771416604221032,0.014852125442447824,0.1717468497670245,-0.09529181524301235
C9,-0.14915879325474843,-0.011141818025582065,-0.26215386286121695,-0.409155209214975,-0.2997968614154393,0.002921878504462272,-0.014170768586645592,-0.012861901345692749,1.0,-0.010890801347839856,-0.21725197724336986,-0.017539515731246652,-0.010040416711493489,0.006693952667644708,0.1706757493809859,0.12033442672768077,-0.4274179868284654,-0.3041884646949686,0.005382238302974543,-0.01449613750644775,-0.12166615968427635
C10,-0.03761658453778457,-0.030317759637233647,-0.1775479660300279,-0.022391594281443786,-0.027643012523940344,0.00786590915267874,-0.038527494179881765,0.48067873209826384,0.015627613437931478,1.0,-0.019424235849690986,-0.047695978077304635,-0.027332362929938316,0.018098552701151988,-0.1957590415697212,-0.03462398424704482,-0.019256747216983266,0.036950456521057176,0.16602935205314362,-0.03942613239336735,-0.005867129568192554
